,PanCK,CD3,CD4,CD8,CD20,CD68,PD1,PDL1,FOXP3,Ki67,SMA,CD31,VIM,CD45
cell_00130,0,6,3,6,2,1,0,7,1,3,0,5,8,0
cell_00131,3,5,5,3,2,0,1,3,1,7,2,5,8,0
cell_00132,1,5,6,6,2,3,0,7,2,6,1,2,3,4
cell_00133,2,5,5,6,1,0,0,5,7,6,1,8,4,1
cell_00134,1,1,7,2,2,0,2,4,3,6,1,4,6,1
cell_00135,2,1,1,3,2,2,0,5,4,2,0,3,5,2
cell_00136,2,5,5,5,1,1,2,4,5,2,1,6,6,3
cell_00137,3,4,5,5,0,0,0,4,6,3,0,10,8,2
cell_00138,3,6,3,6,0,1,1,4,4,4,1,13,0,1
cell_00139,3,2,5,1,0,1,1,3,4,4,0,7,7,3
cell_00140,3,2,5,3,0,4,1,5,5,4,0,8,7,1
cell_00141,5,8,7,2,2,1,2,9,3,3,0,4,7,3
cell_00142,3,7,6,3,0,1,1,2,5,7,0,5,4,2
cell_00143,2,4,4,4,0,1,1,1,4,2,0,3,9,1
cell_00144,2,11,6,2,1,1,1,2,3,3,0,4,6,3
cell_00145,3,4,5,4,1,1,2,4,4,6,0,7,4,0
cell_00146,3,7,4,3,3,0,1,3,1,6,1,6,3,1
cell_00147,2,6,4,3,3,3,1,6,5,5,0,7,7,3
cell_00148,3,8,1,5,0,1,0,8,1,6,0,5,8,2
cell_00149,1,2,2,5,1,0,1,6,3,4,0,6,5,4
cell_00150,2,3,7,4,0,2,1,5,3,4,0,8,14,2
cell_00151,4,7,5,2,3,3,3,4,1,4,0,6,7,5
cell_00152,3,8,5,7,2,3,0,6,4,2,0,5,6,1
cell_00153,1,6,2,4,3,0,1,8,4,3,0,6,6,2
cell_00154,4,8,8,3,2,3,0,7,1,3,0,3,8,2
cell_00155,1,2,2,3,0,1,1,4,5,8,0,6,3,1
cell_00156,0,6,5,2,5,1,1,7,2,3,0,3,5,2
cell_00157,4,3,4,4,1,2,1,5,5,4,0,2,8,3
cell_00158,0,9,1,4,0,1,0,5,4,4,0,2,5,2
cell_00159,4,5,5,3,1,0,1,2,2,6,0,6,4,2
cell_00160,3,6,3,4,1,3,1,7,3,5,0,4,8,0
cell_00161,1,6,2,2,1,1,0,5,3,7,2,8,7,1
cell_00162,0,2,8,5,2,1,3,6,6,4,1,9,5,2
cell_00163,2,5,4,3,0,0,0,6,5,4,1,2,6,0
cell_00164,0,6,1,5,0,5,0,0,2,5,1,5,4,3
cell_00165,4,5,4,6,3,1,1,7,3,3,1,6,1,0
cell_00166,1,2,6,8,1,0,1,2,8,4,1,11,2,4
cell_00167,0,6,6,6,1,1,0,3,1,3,0,9,3,0
cell_00168,3,10,3,4,2,1,0,5,2,7,1,6,6,1
cell_00169,2,3,6,3,3,0,1,6,6,3,1,4,3,3
cell_00170,5,7,7,3,1,1,1,6,5,6,1,7,2,1
cell_00171,3,5,4,4,2,2,1,3,5,7,0,11,8,3
cell_00172,2,4,5,4,1,0,1,6,1,6,0,15,2,2
cell_00173,3,8,2,5,0,1,2,1,2,4,0,4,4,1
cell_00174,4,9,5,3,2,4,2,6,4,3,2,10,7,2
cell_00175,3,6,4,6,1,3,0,8,4,7,0,10,7,3
cell_00176,0,5,1,4,2,2,1,5,6,3,1,8,2,1
cell_00177,3,5,7,3,1,3,0,6,3,6,0,6,9,1
cell_00178,3,4,3,4,1,3,0,8,4,4,0,10,5,1
cell_00179,4,5,3,3,2,2,1,5,2,3,1,3,6,2
cell_00180,2,5,6,7,0,2,1,1,4,3,1,7,6,0
cell_00181,2,10,5,3,2,3,0,5,8,7,1,5,1,4
cell_00182,4,5,2,5,1,2,2,1,4,2,0,6,9,1
cell_00183,5,7,3,8,1,0,2,7,8,5,1,7,5,1
cell_00184,1,8,8,3,1,1,0,9,1,3,1,5,9,0
cell_00185,2,6,4,8,2,1,1,6,2,2,1,4,7,2
cell_00186,0,5,2,2,1,0,1,10,3,3,2,6,6,2
cell_00187,3,8,8,5,2,1,1,3,4,5,1,6,2,1
cell_00188,5,6,7,6,3,0,1,4,5,3,0,4,8,2
cell_00189,1,8,3,8,1,0,2,7,1,7,1,9,8,4
cell_00190,2,5,3,2,1,4,0,5,6,3,1,7,5,2
cell_00191,2,2,1,8,1,2,2,4,0,4,1,13,4,1
cell_00192,2,5,3,5,3,0,1,8,4,3,1,5,3,2
cell_00193,4,5,1,4,1,4,0,5,0,1,0,4,11,2
cell_00194,3,4,6,1,2,0,0,7,5,3,1,4,3,1
cell_00195,4,10,4,0,3,1,3,5,2,4,0,5,3,3
cell_00196,2,11,4,0,1,2,0,4,2,6,2,10,4,2
cell_00197,3,6,4,3,0,1,1,5,6,7,1,6,7,2
cell_00198,3,7,3,5,3,3,2,6,1,4,0,6,4,3
cell_00199,3,5,5,7,1,3,0,2,3,7,0,4,3,0
cell_00200,1,8,3,3,2,1,1,5,5,4,1,2,9,2
cell_00201,1,4,3,3,4,1,0,4,1,9,2,4,4,3
cell_00202,4,7,1,5,1,2,0,8,3,2,1,6,7,0
cell_00203,2,6,2,5,2,2,1,6,5,7,0,11,5,1
cell_00204,0,8,5,4,1,2,2,6,3,6,1,4,6,0
cell_00205,4,5,4,3,0,2,0,4,3,6,1,9,3,1
cell_00206,0,4,5,1,2,0,0,6,8,5,1,5,3,4
cell_00207,1,8,6,7,0,1,2,6,4,2,0,11,5,0
cell_00208,2,2,7,3,0,0,1,8,4,8,2,6,4,2
cell_00209,1,4,9,3,0,4,1,4,1,2,2,5,9,1
cell_00210,1,8,3,4,3,1,0,5,4,1,0,6,4,1
cell_00211,1,6,4,4,1,2,0,5,6,5,1,8,5,1
cell_00212,2,5,4,8,1,0,2,8,6,3,0,6,8,1
cell_00213,0,3,7,3,0,1,1,4,1,3,0,6,2,3
cell_00214,2,12,0,1,0,0,0,3,7,6,1,5,6,3
cell_00215,3,9,2,4,1,0,2,3,4,5,0,8,2,0
cell_00216,2,8,4,1,4,1,0,3,2,4,0,6,6,0
cell_00217,0,4,6,5,0,2,2,5,2,8,0,4,3,2
cell_00218,3,5,5,2,1,0,1,5,4,8,1,7,1,1
cell_00219,3,10,4,5,1,1,1,6,6,5,0,5,5,1
cell_00220,2,6,7,4,1,1,0,3,3,0,2,7,2,2
cell_00221,6,6,8,6,2,3,0,2,4,7,1,3,4,1
cell_00222,4,6,4,2,0,3,1,7,3,6,1,7,4,3
cell_00223,1,7,3,3,3,0,2,6,3,2,0,7,3,2
cell_00224,1,6,4,1,1,2,1,4,8,8,0,0,6,2
cell_00225,4,4,6,8,2,1,1,6,3,4,1,5,8,1
cell_00226,4,5,5,2,1,0,0,5,3,4,1,9,3,1
cell_00227,3,9,5,3,1,1,0,4,5,2,0,10,4,1
cell_00228,3,6,6,6,0,1,2,5,0,7,1,7,4,0
cell_00229,7,2,3,2,2,2,2,3,3,9,0,5,11,2
cell_00230,1,5,2,2,2,2,1,6,6,2,1,6,1,0
cell_00231,3,6,2,2,0,1,1,10,6,4,1,6,4,3
cell_00232,9,6,5,1,1,1,1,6,4,3,0,7,4,5
cell_00233,1,5,3,6,1,2,1,5,3,8,1,3,5,0
cell_00234,4,4,0,1,1,4,1,6,5,6,0,6,5,1
cell_00235,2,7,4,1,3,2,1,4,2,5,0,3,7,0
cell_00236,1,7,4,2,1,1,0,8,5,10,2,7,6,1
cell_00237,0,4,3,6,2,3,0,4,2,7,0,9,5,4
cell_00238,0,8,6,2,1,1,1,4,5,4,0,8,8,1
cell_00239,3,5,5,2,1,2,0,5,2,4,0,9,5,2
cell_00240,2,10,3,7,3,1,0,8,2,5,0,12,7,2
cell_00241,3,7,2,5,1,1,0,7,2,3,0,6,3,1
cell_00242,3,6,5,2,0,3,2,4,4,5,1,3,3,3
cell_00243,3,10,7,6,0,1,3,6,0,2,0,6,8,1
cell_00244,2,10,7,2,2,1,0,4,2,6,0,6,2,0
cell_00245,1,2,4,1,2,1,1,10,3,5,1,3,4,1
cell_00246,6,7,5,1,2,2,0,11,3,5,0,5,7,1
cell_00247,1,6,6,4,0,3,1,7,3,2,0,3,4,2
cell_00248,1,5,3,4,2,2,1,5,5,4,1,3,7,0
cell_00249,2,12,6,4,1,1,0,4,5,2,0,3,5,1
cell_00250,2,6,5,4,2,0,0,4,1,7,0,3,6,2
cell_00251,0,9,5,2,0,1,1,11,9,5,0,5,3,0
cell_00252,1,5,6,3,2,1,0,3,5,0,0,9,3,2
cell_00253,1,7,3,5,1,1,2,7,4,7,0,8,5,2
cell_00254,1,3,5,3,2,2,1,7,4,2,1,9,5,2
cell_00255,0,9,6,1,1,1,1,7,3,6,0,5,4,6
cell_00256,2,4,5,7,1,1,0,1,4,4,0,9,8,4
cell_00257,4,5,5,6,0,0,0,6,2,5,1,9,2,4
cell_00258,2,6,4,1,1,0,1,4,1,4,1,5,8,1
cell_00259,6,2,7,0,0,1,0,5,2,5,1,6,6,1
cell_00260,2,5,4,3,3,0,0,5,2,4,1,7,5,1
cell_00261,2,4,4,5,2,1,0,2,3,5,0,6,2,1
cell_00262,1,7,8,1,1,2,0,3,1,4,1,7,5,1
cell_00263,3,7,7,7,2,2,1,4,0,3,0,3,9,1
cell_00264,5,9,3,5,3,3,1,2,2,2,0,6,3,1
cell_00265,5,10,4,4,0,1,0,9,6,4,0,5,9,1
cell_00266,3,6,5,7,0,3,0,6,5,7,1,6,7,1
cell_00267,3,4,6,3,1,2,0,3,3,8,1,7,6,3
cell_00268,0,6,6,3,1,2,0,5,7,8,0,2,6,1
cell_00269,1,4,6,0,1,0,0,4,1,4,1,4,1,1
cell_00270,2,7,5,8,1,1,0,7,5,5,1,7,6,0
cell_00271,3,4,5,2,1,1,0,6,2,3,0,7,4,3
cell_00272,3,8,5,5,2,3,1,5,4,9,0,6,7,1
cell_00273,3,3,8,4,1,0,1,2,8,4,0,6,7,1
cell_00274,0,5,1,4,0,3,1,6,3,4,1,9,3,1
cell_00275,5,7,6,2,1,0,3,10,4,7,1,9,7,1
cell_00276,3,7,2,2,5,2,2,2,1,4,0,3,3,3
cell_00277,2,12,6,3,1,2,0,5,3,6,2,3,7,0
cell_00278,4,2,4,6,2,1,0,4,1,5,0,6,7,1
cell_00279,7,7,4,5,1,2,1,4,5,9,0,6,3,3
cell_00280,3,6,3,4,1,0,0,5,3,9,1,6,7,3
cell_00281,3,5,11,3,1,2,0,6,13,5,1,13,2,0
cell_00282,0,9,3,3,1,1,1,5,6,4,1,6,6,3
cell_00283,3,5,6,2,4,3,0,7,3,3,1,7,9,0
cell_00284,1,2,7,4,1,2,0,6,1,2,1,7,5,1
cell_00285,3,8,1,6,2,1,2,10,5,3,0,4,7,2
cell_00286,1,6,8,2,1,2,1,4,2,3,0,4,3,3
cell_00287,3,7,3,5,1,2,1,3,8,7,1,12,6,3
cell_00288,1,10,7,1,2,0,1,6,3,4,1,3,3,2
cell_00289,3,3,10,3,0,2,1,4,4,3,1,9,3,0
cell_00290,3,8,7,6,2,2,1,5,3,6,0,7,5,3
cell_00291,2,5,4,4,1,2,2,4,2,2,0,4,5,2
cell_00292,4,7,2,4,1,2,1,4,0,3,0,5,8,1
cell_00293,6,3,3,3,2,1,0,6,7,5,0,5,3,2
cell_00294,2,6,2,5,3,3,1,5,3,6,0,7,2,2
cell_00295,2,6,3,2,2,4,0,7,8,2,2,12,6,2
cell_00296,0,8,6,9,2,0,1,7,3,3,1,1,2,2
cell_00297,2,2,3,8,3,1,0,8,2,7,0,3,10,2
cell_00298,1,7,1,2,1,2,0,11,5,1,1,3,8,1
cell_00299,3,4,3,2,0,1,0,3,2,4,0,7,6,0
cell_00300,3,6,6,4,0,2,1,5,5,4,0,5,6,2
cell_00301,7,6,2,0,1,0,0,7,7,6,1,4,4,4
cell_00302,0,15,5,4,2,1,1,5,3,3,1,6,4,1
cell_00303,4,10,5,5,0,0,1,6,7,3,0,6,3,2
cell_00304,2,10,6,5,1,4,0,4,3,5,1,4,4,2
cell_00305,1,8,7,6,0,3,2,11,3,9,1,10,8,0
cell_00306,1,7,5,4,1,4,2,3,5,1,0,9,6,1
cell_00307,1,4,3,2,0,1,2,9,5,8,2,12,5,1
cell_00308,1,4,11,2,1,5,3,3,4,3,0,4,2,1
cell_00309,4,1,8,4,2,0,1,3,5,9,0,3,4,3
cell_00310,3,7,7,6,1,1,0,5,6,6,0,3,4,1
cell_00311,2,3,3,3,0,1,0,3,5,1,1,7,5,1
cell_00312,2,3,3,5,0,0,0,3,5,4,2,4,4,2
cell_00313,3,4,6,3,1,0,0,9,4,7,0,6,4,1
cell_00314,2,4,5,2,3,6,3,6,0,3,3,5,4,2
cell_00315,2,5,5,3,5,3,0,4,1,3,2,6,4,1
cell_00316,6,12,6,5,2,5,0,2,2,7,1,10,2,4
cell_00317,1,7,2,6,2,4,1,9,6,3,1,6,7,1
cell_00318,2,5,5,4,1,2,1,1,2,7,0,4,2,2
cell_00319,3,8,6,4,5,4,0,8,5,3,1,4,7,3
cell_00320,1,4,5,6,1,1,1,9,1,6,0,8,1,2
cell_00321,5,4,6,3,1,0,2,6,5,5,0,6,7,3
cell_00322,2,5,3,5,1,2,1,4,2,5,0,3,7,3
cell_00323,3,8,6,5,1,2,1,7,2,3,2,6,5,2
cell_00324,0,7,8,6,2,0,1,7,1,0,0,4,2,4
cell_00325,5,5,2,3,1,3,2,2,3,3,0,2,6,1
cell_00326,2,6,7,6,0,3,1,7,6,3,1,8,4,2
cell_00327,3,7,4,5,1,1,0,7,4,1,0,4,5,1
cell_00328,2,5,6,8,2,1,1,7,2,2,0,10,3,1
cell_00329,7,5,7,3,2,0,0,5,7,2,0,5,10,0
cell_00330,1,2,7,3,0,3,1,3,4,5,0,10,3,3
cell_00331,3,8,4,6,3,3,0,8,3,1,2,10,4,2
cell_00332,0,7,3,5,2,1,2,7,5,5,0,8,7,0
cell_00333,1,9,4,4,0,1,0,6,7,5,3,7,1,2
cell_00334,5,2,4,7,1,1,1,2,4,2,0,5,6,3
cell_00335,2,5,3,4,0,0,0,9,4,7,0,3,4,3
cell_00336,4,6,1,6,1,0,0,9,4,6,0,10,7,0
cell_00337,3,5,11,3,0,0,0,3,4,4,0,9,3,1
cell_00338,1,3,5,8,4,4,1,5,4,4,2,9,8,0
cell_00339,4,8,7,1,1,3,3,5,2,8,0,1,6,2
cell_00340,1,6,9,4,2,0,1,7,3,6,0,8,2,2
cell_00341,2,6,6,2,0,2,1,9,5,7,0,5,2,0
cell_00342,6,8,6,7,2,2,0,7,4,3,0,6,3,1
cell_00343,0,4,4,6,1,1,0,2,3,11,0,8,6,1
cell_00344,2,1,1,2,3,2,2,6,2,3,1,6,2,0
cell_00345,3,8,2,5,0,0,1,7,6,3,0,5,5,2
cell_00346,3,4,1,4,2,3,0,5,2,5,3,7,3,3
cell_00347,1,4,5,2,0,1,0,5,4,7,0,5,6,2
cell_00348,1,6,5,7,1,0,1,7,4,4,0,9,5,0
cell_00349,2,6,6,3,3,1,1,2,3,5,2,8,4,1
cell_00350,2,6,6,4,0,1,1,5,5,7,0,4,1,3
cell_00351,2,3,6,8,2,1,1,6,3,3,1,4,3,0
cell_00352,3,6,9,2,2,1,0,4,3,4,0,6,3,0
cell_00353,1,12,7,4,0,1,0,11,1,0,0,8,3,2
cell_00354,1,4,3,5,2,2,1,4,2,7,1,8,7,1
cell_00355,2,6,6,5,0,0,0,6,1,4,2,10,4,3
cell_00356,0,11,4,7,0,0,0,2,2,6,1,4,6,3
cell_00357,4,6,2,5,2,3,0,5,3,6,0,8,2,0
cell_00358,1,6,5,6,2,1,0,5,4,6,0,12,4,5
cell_00359,6,4,7,4,2,2,0,11,5,5,0,10,7,0
cell_00360,2,6,5,6,2,0,1,7,5,6,1,3,3,2
cell_00361,7,7,5,3,0,0,2,5,6,7,0,5,4,2
cell_00362,0,8,5,3,1,1,0,3,4,5,1,5,6,0
cell_00363,3,8,5,3,2,3,0,8,8,8,1,2,8,2
cell_00364,4,7,7,8,3,2,0,4,6,9,1,6,7,1
cell_00365,2,1,5,3,1,1,1,3,7,3,0,4,2,1
cell_00366,6,7,6,8,2,3,2,5,2,10,3,5,5,4
cell_00367,3,4,8,4,1,5,1,6,7,2,0,7,6,2
cell_00368,3,4,13,3,1,1,1,4,4,7,0,4,3,2
cell_00369,4,5,6,5,1,1,2,6,7,7,0,4,4,1
cell_00370,1,7,3,3,1,0,2,7,8,7,0,9,4,0
cell_00371,1,11,2,6,1,1,0,5,5,7,1,4,9,1
cell_00372,2,6,2,5,3,1,3,9,3,3,1,8,9,2
cell_00373,2,5,6,4,2,0,0,7,1,5,0,6,10,0
cell_00374,2,4,2,5,1,1,0,8,5,5,0,3,5,2
cell_00375,4,7,4,4,0,1,1,9,5,5,0,3,6,3
cell_00376,2,7,4,0,1,1,2,4,5,8,0,8,9,3
cell_00377,3,4,3,3,0,1,0,6,6,4,1,2,3,2
cell_00378,1,6,9,4,2,1,0,4,2,4,0,4,6,2
cell_00379,4,5,2,6,2,1,0,7,2,5,1,7,6,1
cell_00380,3,2,0,3,0,3,0,2,3,4,1,7,7,1
cell_00381,4,6,9,4,1,0,2,3,1,10,0,3,7,1
cell_00382,0,8,3,2,2,1,0,11,5,4,0,5,6,2
cell_00383,2,5,1,10,1,1,0,7,6,7,1,5,7,2
cell_00384,1,5,5,3,1,1,3,6,3,5,0,5,4,2
cell_00385,2,6,3,7,2,3,0,3,5,8,2,6,5,1
cell_00386,2,4,10,2,0,0,0,7,2,2,0,8,6,2
cell_00387,3,6,5,4,1,2,0,5,5,5,1,4,7,3
cell_00388,3,8,1,4,0,1,0,9,5,3,1,8,3,0
cell_00389,6,5,3,4,0,1,0,2,3,4,0,12,5,2
cell_00390,0,8,5,3,1,1,0,5,4,6,0,4,4,3
cell_00391,2,5,2,3,2,1,0,4,2,4,2,4,5,1
cell_00392,1,4,3,4,1,4,0,4,3,6,0,8,2,3
cell_00393,2,8,3,2,0,2,1,5,5,9,0,5,6,3
cell_00394,0,7,5,4,4,2,2,2,2,8,0,12,5,4
cell_00395,2,5,2,2,1,1,0,5,8,2,0,7,3,2
cell_00396,4,6,6,5,2,0,1,9,2,2,1,5,2,3
cell_00397,8,1,2,3,5,0,1,9,4,5,0,4,2,0
cell_00398,1,4,4,1,1,3,1,6,6,4,2,4,1,0
cell_00399,4,6,6,7,4,0,0,5,3,5,1,3,4,1
cell_00400,4,7,5,2,1,2,1,5,5,6,0,9,2,0
cell_00401,3,4,4,5,0,1,0,4,2,5,0,10,6,4
cell_00402,1,8,5,10,0,1,0,3,0,5,3,3,6,1
cell_00403,3,8,2,3,2,0,1,2,2,8,0,5,9,6
cell_00404,2,8,3,3,2,3,0,8,2,0,0,7,6,1
cell_00405,5,4,1,2,2,0,0,6,3,3,0,7,3,3
cell_00406,2,4,5,5,0,0,2,5,4,6,1,5,2,1
cell_00407,0,7,8,1,4,0,2,2,1,4,1,6,4,1
